date,station,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM,AQI,AQI_Category
2013-03-01,Aotizhongxin,7.125,10.75,11.708333333333334,22.583333333333332,429.1666666666667,63.875,1.3916666666666666,1026.875,-18.745833333333334,0.0,3.2541666666666664,78,Moderate
2013-03-01,Changping,5.083333333333333,18.958333333333332,16.041666666666668,15.333333333333334,387.5,77.79166666666667,0.8125,1023.8583333333332,-19.583333333333332,0.0,2.1333333333333333,123,Unhealthy for Sensitive Groups
2013-03-01,Dingling,6.375,14.591884795692849,3.0,34.634057061754255,204.16666666666666,81.95833333333333,0.8125,1023.8583333333332,-19.583333333333332,0.0,2.1333333333333333,137,Unhealthy for Sensitive Groups
2013-03-01,Dongsi,6.416666666666667,9.875,8.784618112497885,29.443274399692978,430.44860225495563,72.14051130331713,1.325,1028.7833333333333,-21.46666666666667,0.0,3.3083333333333336,104,Unhealthy for Sensitive Groups
2013-03-01,Guanyuan,7.541666666666667,11.666666666666666,8.5,28.5,400.0,63.166666666666664,1.3916666666666666,1026.875,-18.745833333333334,0.0,3.2541666666666664,76,Moderate
2013-03-01,Gucheng,8.625,16.875,7.742951445831218,44.573821327192825,884.6152689216224,76.3071779699838,1.6916666666666667,1024.8166666666666,-19.691666666666666,0.0,2.35,118,Unhealthy for Sensitive Groups
2013-03-01,Huairou,7.541666666666667,12.375,15.951284779164553,18.73143093210523,376.28193558828895,77.34884463665047,0.016666666666666646,1023.7833333333333,-21.941666666666666,0.0,2.9333333333333336,121,Unhealthy for Sensitive Groups
2013-03-01,Nongzhanguan,6.458333333333333,10.833333333333334,9.25,27.708333333333332,341.6666666666667,72.08333333333333,1.325,1028.7833333333333,-21.46666666666667,0.0,3.3083333333333336,104,Unhealthy for Sensitive Groups
2013-03-01,Shunyi,8.083333333333334,9.333333333333334,3.5346181124978853,14.568274399692974,388.78193558828895,62.26551130331713,0.5416666666666666,1029.6416666666667,-20.6375,0.0,3.1666666666666665,73,Moderate
2013-03-01,Tiantan,8.625,14.458333333333334,8.875,21.583333333333332,450.0,68.08333333333333,1.325,1028.7833333333333,-21.46666666666667,0.0,3.3083333333333336,91,Moderate
